cp_dist_loss,cp_dist_sparse_accuracy,has_cp_accuracy,has_cp_loss,has_cp_precision,has_cp_recall,loss,val_cp_dist_loss,val_cp_dist_sparse_accuracy,val_has_cp_accuracy,val_has_cp_loss,val_has_cp_precision,val_has_cp_recall,val_loss,val_best_threshold,val_detection_accuracy,val_detection_precision,val_detection_recall,val_detection_f1,val_false_positive_rate,val_false_negative_rate,val_jaccard_coefficient,val_localization_mae_all_cp,val_localization_rmse_all_cp,val_localization_mae_true_positive,val_localization_rmse_true_positive,val_selection_score,learning_rate
2.073526620864868,0.00839999970048666,0.5040000081062317,0.9391304850578308,0.5202020406723022,0.10300000011920929,3.9540398120880127,2.0029635429382324,0.018149999901652336,0.5,0.9119189977645874,0.0,0.0,3.8782031536102295,0.3,0.5,0.5,1.0,0.6666666666666666,0.9999999999989999,0.0,0.49999999999975,15.434210777282715,17.757471365784056,15.434210777282715,17.757471365784056,40.10087744393138,0.0010000000474974513
2.0552408695220947,0.011099999770522118,0.5002999901771545,0.9198787808418274,0.5254237055778503,0.006200000178068876,3.8958468437194824,2.003514289855957,0.019700000062584877,0.5,0.9161286354064941,0.0,0.0,3.8845930099487305,0.3,0.5,0.5,1.0,0.6666666666666666,0.9999999999989999,0.0,0.49999999999975,15.435215950012207,17.758041924111893,15.435215950012207,17.758041924111893,40.10188261666087,0.0010000000474974513
2.05338191986084,0.010599999688565731,0.4999000132083893,0.9183363914489746,0.4444444477558136,0.0007999999797903001,3.891718864440918,2.0034055709838867,0.02019999921321869,0.5,0.9208558797836304,0.0,0.0,3.892007350921631,0.3,0.5,0.5,1.0,0.6666666666666666,0.9999999999989999,0.0,0.49999999999975,15.433612823486328,17.756801108186774,15.433612823486328,17.756801108186774,40.100279490134994,0.0010000000474974513
2.05027437210083,0.010300000198185444,0.4997999966144562,0.9183870553970337,0.0,0.0,3.8891661167144775,1.9949737787246704,0.02215000055730343,0.5,0.9198627471923828,0.0,0.0,3.881640672683716,0.3,0.5,0.5,1.0,0.6666666666666666,0.9999999999989999,0.0,0.49999999999975,15.419506072998047,17.742620089123058,15.419506072998047,17.742620089123058,40.08617273964671,0.0010000000474974513
2.0385494232177734,0.016100000590085983,0.5001000165939331,0.9194092750549316,1.0,0.00019999999494757503,3.879608154296875,1.9673035144805908,0.02419999986886978,0.5,0.9108701944351196,0.0,0.0,3.839505910873413,0.3,0.5,0.5,1.0,0.6666666666666666,0.9999999999989999,0.0,0.49999999999975,15.304085731506348,17.647274578495914,15.304085731506348,17.647274578495914,39.970752398155014,0.0010000000474974513
2.0144572257995605,0.02160000056028366,0.5,0.9167870283126831,0.5,0.00039999998989515007,3.847118854522705,1.941369652748108,0.031449999660253525,0.5,0.9066257476806641,0.0,0.0,3.807197332382202,0.3,0.5,0.5,1.0,0.6666666666666666,0.9999999999989999,0.0,0.49999999999975,15.112593650817871,17.51052975622811,15.112593650817871,17.51052975622811,39.77926031746654,0.0010000000474974513
1.9812772274017334,0.02850000001490116,0.5001000165939331,0.9136296510696411,0.6666666865348816,0.00039999998989515007,3.806361436843872,1.921992301940918,0.03889999911189079,0.5,0.8979137539863586,0.0,0.0,3.7705230712890625,0.3,0.50175,0.5008795295773232,0.9966,0.6666889654480382,0.9930999999990068,0.0033999999999965998,0.5000250865483418,14.902419090270996,17.410100596584822,14.895190238952637,17.403462102813407,39.44443978129235,0.0010000000474974513
1.9501394033432007,0.03440000116825104,0.4997999966144562,0.9034409523010254,0.4545454680919647,0.0020000000949949026,3.7584335803985596,1.8813272714614868,0.045099999755620956,0.5001500248908997,0.8861783146858215,0.6363636255264282,0.000699999975040555,3.7104172706604004,0.3,0.57195,0.5645465147573339,0.6293,0.5951671631909964,0.48539999999951455,0.37069999999962927,0.42365692742667044,14.795719146728516,17.254058802670624,14.642553329467773,17.09829032337508,32.33657588289985,0.0010000000474974513
1.9426885843276978,0.037700001150369644,0.5238999724388123,0.8976424336433411,0.6484472155570984,0.10440000146627426,3.734518051147461,1.873589277267456,0.04610000178217888,0.514549970626831,0.8848896026611328,0.814254879951477,0.037700001150369644,3.6968979835510254,0.3,0.5653,0.5521565495207668,0.6913,0.613943161634103,0.5606999999994392,0.3086999999996913,0.44294226949417376,14.741497039794922,17.225030048050716,14.860993385314941,17.26398023132946,32.64223380710276,0.0010000000474974513
1.927962303161621,0.0430000014603138,0.5170999765396118,0.8949281573295593,0.7070217728614807,0.058400001376867294,3.717726945877075,1.8628911972045898,0.05104999989271164,0.5362499952316284,0.8746017217636108,0.8384687304496765,0.08980000019073486,3.668321371078491,0.3,0.5804,0.5792586750788643,0.5876,0.5833995234312946,0.4267999999995732,0.41239999999958754,0.4118306700305496,14.770241737365723,17.241602526041934,14.427998542785645,16.95730435235617,31.908651268732143,0.0010000000474974513
