rank,transition,detection_recall,false_negative_rate,localization_mae,localization_rmse,difficulty_score,interpretation
20,CTRW → FBM,0.4496,0.5504,22.073345,29.162350,2.000000,Difficult transition: low detection recall and...
19,ATTM → FBM,0.5380,0.4620,20.393925,27.987778,1.786093,Difficult transition: low detection recall and...
18,ATTM → CTRW,0.5446,0.4554,20.407578,27.969597,1.773029,Difficult transition: low detection recall and...
17,CTRW → ATTM,0.5320,0.4680,19.189230,27.259912,1.766850,Difficult transition: low detection recall and...
16,FBM → CTRW,0.5664,0.4336,19.058495,25.972143,1.648882,Difficult transition: low detection recall and...
